Date,Buy-and-Hold SPY,Regime-Based Allocation_econ,Regime-Based Allocation_market
2023-05-01,4586161.276330046,7228865.013116886,33208554.74618761
2023-06-01,4865270.97821332,7668807.317191296,35229597.89245043
2023-07-01,5043190.887034108,7949250.791922467,36517922.196047515
2023-08-01,4961229.391462387,7820060.26588949,35924436.130299956
2023-09-01,4709284.529145716,7422936.115494815,34100094.54064721
2023-10-01,4623303.315931544,7287409.572371009,33477501.558384843
2023-11-01,5045613.523127153,7953069.434189348,36535464.58901594
2023-12-01,5254668.435236909,8282588.97109926,38049238.54406354
2024-01-01,5360000.110119834,8448616.376909003,38811948.89834405
2024-02-01,5639722.009390824,8889523.647544887,40837424.987375446
2024-03-01,5806110.996307384,9151791.686895568,42042253.48080405
2024-04-01,5589323.95204214,8810084.497557452,40472490.88547127
2024-05-01,5872030.0985004725,9255695.64116754,42519576.013113774
2024-06-01,6059647.43418234,9551424.533381764,43878119.72492824
2024-07-01,6152810.180439943,9698270.855691303,44552714.43998296
2024-08-01,6296574.3615932455,9924876.898667213,45593715.920897014
2024-09-01,6409172.568257526,10102358.061594492,46409043.486814074
2024-10-01,6371462.723321721,10042918.508059071,46135985.17626487
2024-11-01,6751414.652577993,10641811.796492409,48887230.42983857
2024-12-01,6566873.789434737,10350932.1460205,47550963.56364026
2025-01-01,6765931.198167342,10664693.274530208,48992345.245886885
2025-02-01,6680039.113184433,10529307.218387527,48370397.64427493
2025-03-01,6288914.15144677,9912802.612181306,45538248.07040308
2025-04-01,6253142.415385401,9856417.972459389,45279223.67422861
2025-05-01,6530200.447327376,10293126.363864033,47285410.60644629
